TEAM,MATCH_UP,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FGp,PM_3,PA_3,Pp_3,FTM,FTA,FTp,OREB,DREB,REB,AST,TOV,STL,BLK,PF,plus_minus
PHO,PHO vs. DAL,8/12/22,W,40,86,35,68,51.5,11,22,50,5,6,83.3,6,19,25,25,10,8,2,14,12
IND,IND vs. WAS,8/12/22,L,40,70,26,63,41.3,8,19,42.1,10,12,83.3,4,22,26,17,17,7,5,17,-12
NYL,NYL @ ATL,8/12/22,W,40,80,31,66,47,4,16,25,14,18,77.8,6,31,37,20,11,4,3,17,10
DAL,DAL @ PHO,8/12/22,L,40,74,28,62,45.2,9,21,42.9,9,14,64.3,11,20,31,17,16,4,5,11,-12
SEA,SEA @ MIN,8/12/22,W,40,96,38,72,52.8,12,27,44.4,8,11,72.7,9,30,39,29,11,10,3,19,27
MIN,MIN vs. SEA,8/12/22,L,40,69,23,63,36.5,4,13,30.8,19,21,90.5,7,23,30,16,14,8,2,12,-27
LAS,LAS vs. CON,8/11/22,L,40,69,28,68,41.2,5,18,27.8,8,10,80,7,17,24,16,18,6,2,22,-24
CHI,CHI @ LVA,8/11/22,L,40,78,30,65,46.2,3,21,14.3,15,19,78.9,6,29,35,23,17,6,1,19,-11
LVA,LVA vs. CHI,8/11/22,W,40,89,31,67,46.3,9,21,42.9,18,20,90,5,24,29,17,9,10,4,17,11
CON,CON @ LAS,8/11/22,W,40,93,34,68,50,7,21,33.3,18,24,75,12,30,42,25,19,8,4,16,24
DAL,DAL vs. NYL,8/10/22,L,40,73,23,67,34.3,7,19,36.8,20,25,80,13,20,33,12,10,4,3,14,-18
NYL,NYL @ DAL,8/10/22,W,40,91,34,62,54.8,13,27,48.1,10,11,90.9,5,27,32,21,12,4,5,20,18
MIN,MIN @ PHO,8/10/22,W,40,86,30,65,46.2,6,17,35.3,20,24,83.3,13,25,38,21,13,5,2,13,9
PHO,PHO vs. MIN,8/10/22,L,40,77,28,67,41.8,13,31,41.9,8,8,100,9,18,27,20,13,8,4,21,-9
LAS,LAS vs. CON,8/9/22,L,40,71,27,60,45,6,15,40,11,14,78.6,1,22,23,15,20,13,3,15,-26
CON,CON @ LAS,8/9/22,W,40,97,38,75,50.7,8,19,42.1,13,13,100,11,30,41,21,19,12,2,17,26
CHI,CHI vs. SEA,8/9/22,L,40,100,39,70,55.7,7,23,30.4,15,21,71.4,7,23,30,30,13,5,1,11,-11
LVA,LVA vs. ATL,8/9/22,W,40,97,32,67,47.8,14,27,51.9,19,19,100,6,26,32,22,10,4,2,17,7
SEA,SEA @ CHI,8/9/22,W,40,111,44,75,58.7,11,24,45.8,12,12,100,7,21,28,37,9,7,2,17,11
ATL,ATL @ LVA,8/9/22,L,40,90,33,66,50,9,19,47.4,15,18,83.3,5,24,29,22,10,6,1,15,-7
DAL,DAL vs. NYL,8/8/22,W,40,86,32,66,48.5,8,22,36.4,14,20,70,9,22,31,15,11,8,5,15,9
NYL,NYL @ DAL,8/8/22,L,40,77,27,62,43.5,11,30,36.7,12,12,100,5,23,28,15,14,4,2,17,-9
ATL,ATL @ MIN,8/7/22,L,40,71,25,64,39.1,7,22,31.8,14,20,70,9,23,32,18,11,6,1,14,-10
LVA,LVA @ SEA,8/7/22,W,40,89,35,76,46.1,7,27,25.9,12,14,85.7,11,24,35,24,6,8,2,17,8
CON,CON @ CHI,8/7/22,L,40,91,36,78,46.2,5,13,38.5,14,15,93.3,11,23,34,27,13,7,0,18,-3
WAS,WAS vs. LAS,8/7/22,L,40,76,25,65,38.5,3,15,20,23,27,85.2,13,27,40,15,11,3,7,21,-3
CHI,CHI vs. CON,8/7/22,W,40,94,37,65,56.9,10,26,38.5,10,11,90.9,3,23,26,27,16,9,5,19,3
MIN,MIN vs. ATL,8/7/22,W,40,81,31,66,47,12,26,46.2,7,7,100,6,27,33,26,13,4,5,17,10
